source_url_processed,f0,fact,bias
illinoispolicy.org,5.100999795960008e-06,2,1
washingtonpost.com,0.005405405405405407,2,4
delawareonline.com,1.557777985481509e-05,2,4
gawken.com,9.316774815788726e-08,0,3
bigleaguepolitics.com,1.3095861707700367e-05,1,1
azcentral.com,0.00020024028834601522,2,2
leftsideofhistory.com,0.0,1,5
nationalobserver.com,1.0707325952416645e-05,2,4
reagancoalition.com,2.193202738345211e-07,0,0
stratfor.com,1.9527436047646946e-05,2,3
monthlyreview.org,8.721437292865864e-06,2,4
newswars.com,7.398583911039427e-06,0,0
indystar.com,3.95835807307129e-05,2,4
progressive.org,5.3745814544692326e-06,2,5
oathkeepers.org,3.712682896041166e-06,0,0
realcleardefense.com,1.3034920552159234e-05,2,2
berkeleyside.com,1.8516803999629667e-05,2,4
anthropocenemagazine.org,1.8739224945656247e-06,2,3
atlbanana.com,1.9409564917133774e-07,0,3
theroot.com,0.0003531073446327684,2,5
salon.com,0.0002414875633904854,2,5
daltondailycitizen.com,9.633322974300027e-08,2,2
ydr.com,7.107977282904603e-06,2,4
bluestemprairie.com,3.500151731577564e-07,2,4
wilsoncenter.org,1.5584334626833108e-05,2,3
brokenworldnews.com,1.5612054191938028e-07,0,3
atimes.com,3.678499172337686e-05,2,3
patriotfires.com,2.318122969469161e-07,0,0
airspacemag.com,1.2511886291977378e-05,2,3
allgov.com,3.2161062601508352e-06,2,3
thegoldwater.com,1.4302059496567505e-05,0,0
lynx.media,1.214832128422334e-06,1,2
resistancereport.com,4.891228852772055e-07,0,6
unicornriot.ninja,3.713965252141101e-06,2,4
democraticreview.com,1.1603099280642654e-07,0,6
taskandpurpose.com,3.248546275541695e-05,2,3
zdf.de,0.000693000693000693,2,3
medicaldaily.com,5.2912852531879995e-05,2,3
americannewsx.com,7.013286671599345e-07,1,5
ibtimes.com,7.079646017699115e-05,1,4
gq.com,0.0004935834155972358,2,5
japantimes.co.jp,0.00023413720440177945,2,3
theguardian.com-us,0.007936507936507936,2,4
chicksontheright.com,1.0454609275182984e-07,1,1
seeker.com,2.392287265854884e-05,2,3
foreignpolicyjournal.com,5.278353998089236e-06,2,5
quantamagazine.org,3.992494111071186e-05,2,3
democratandchronicle.com,1.7735213265939527e-05,2,4
buzzfeed.com,0.004444444444444445,1,4
harvardpolitics.com,4.227882887644012e-06,2,3
newsuptoday.com,1.935881663425678e-07,0,0
nrdc.org,3.023248783142365e-05,2,4
sciencetrends.com,8.075717931324097e-06,2,3
viralcords.com,1.3360549663701606e-07,0,3
africanews.com,4.443457009553433e-05,2,3
climatecentral.org,9.975858422617267e-06,2,3
siouxcityjournal.com,9.332275675423452e-06,2,3
startribune.com,0.0001644195988161789,2,4
commentarymagazine.com,1.4842300556586273e-05,2,1
themaven.net-beingliberal,0.0001094331363536879,1,5
merionwest.com,8.237958370301172e-07,2,3
cpj.org,6.101802472450363e-06,2,3
adelaidenow.com.au,3.9032006245121e-05,1,1
redpepper.org.uk,2.9231987979806537e-06,2,5
worldsocialism.org-spgb,3.6597594806069343e-06,2,5
examine.com,4.8899755501222496e-05,2,3
freespeech.org,8.869887618523874e-06,2,5
epi.org,1.6785282664160066e-05,2,4
atlanticmedia.com,1.1381743683132256e-05,2,4
citizencritics.org,0.0,2,5
thestranger.com,7.017543859649122e-05,2,4
bangkokpost.com,4.603203829865586e-05,2,3
fpif.org,4.054180062353289e-06,2,4
bigamericannews.com,1.511448923304245e-07,0,3
psypost.org,3.0475726084173955e-05,2,3
tharawat-magazine.com-#gs.a9CcWpc,2.61834253680735e-06,2,2
daily.jstor.org,0.0009017132551848512,2,3
beliefnet.com,6.579813133307015e-05,1,1
outsidethebeltway.com,4.153410365250907e-06,2,4
placesjournal.org,4.458553288628907e-06,2,3
swarajyamag.com,2.049474309839526e-05,2,2
politicalgarbagechute.com,4.030226700251889e-07,0,3
rewire.news,1.0350466806052952e-05,2,5
defconwarningsystem.com,5.95291246242224e-06,2,3
pnas.org,0.00024283632831471587,2,3
quillette.com,2.9789389019631208e-05,2,2
truthexaminer.com,0.0,0,6
aljazeera.com,0.0004782400765184122,2,4
milo.yiannopoulos.net,0.0,0,0
magicvalley.com,5.641048783789882e-06,2,3
msn.com,0.021739130434782608,2,4
nationmaster.com,2.783034620950685e-05,2,3
mentaldaily.com,1.1401415212064615e-07,2,3
skeptic.com,6.328993753283165e-06,2,3
panampost.com,4.276062601556487e-05,2,4
marketwatch.com,0.0010351966873706005,2,3
novinite.com,6.38630775617077e-06,2,3
liberationnews.org,3.073159638350574e-06,2,5
abriluno.com,1.1118629775646065e-07,0,3
detroitnews.com,5.5903398926654734e-05,2,2
thechronicleherald.ca,2.473655568198684e-05,1,2
pinknews.co.uk,6.155361319709468e-05,2,5
theduran.com,1.8991188088726833e-05,0,0
teaparty.org,1.2462612163509473e-05,0,0
frc.org,6.609865885821178e-06,0,0
stocksnewsdaily.com,0.0,1,4
theoutline.com,8.722197993894462e-05,2,5
retractionwatch.com,1.0377642407197934e-05,2,3
uawire.org,2.672639124229612e-06,1,4
photographyisnotacrime.com,1.969252097745797e-06,2,5
babylonbee.com,4.25930658488798e-05,0,3
deadline.com,0.0005291005291005291,2,4
polygraph.info,4.993682991016365e-06,2,3
conservativebyte.com,1.342312328964241e-07,0,0
ntd.tv,0.0076335877862595426,2,2
fas.org,3.842606824469721e-05,2,3
guttmacher.org,1.4342675195777514e-05,2,4
al-monitor.com-pulse-home.html,2.379875770484781e-05,2,4
secondnexus.com,3.206978384965685e-05,1,4
nwitimes.com,2.270456815911361e-05,2,3
morningstaronline.co.uk,5.184436322160874e-06,2,5
climaterealityproject.org,7.186902588722313e-06,2,5
theproudliberal.org,3.417086113987159e-07,0,6
nccivitas.org,1.184589906820158e-06,1,1
vox.com,0.0011668611435239206,2,5
freedumjunkshun.com,6.038432205615863e-08,0,3
aol.com,0.003115264797507788,2,4
lgbtqnation.com,2.513004799839168e-05,2,5
beaware.one,1.561010454555317e-07,0,0
liberalsociety.com,9.424206432341313e-08,0,6
mwcnews.net,6.287959626268831e-07,2,4
taxpayer.com,1.150276756587635e-06,2,2
santamariatimes.com,3.2690635440571693e-06,2,3
wilderness.org,4.9238768636873935e-06,2,4
jamestown.org,7.346890795815211e-06,2,2
bluntforcetruth.com,7.330625888838388e-06,0,0
independent.co.uk,0.002444987775061125,2,4
desmogblog.com,4.232445930503238e-06,2,5
niskanencenter.org,3.357924534004023e-06,2,3
scientificamerican.com,0.0003498950314905528,2,3
greenleft.org.au,3.847100824818416e-06,1,5
texasmonthly.com,2.654350480437437e-05,2,4
pravdareport.com,1.4166111827286764e-05,1,5
hindustantimes.com,0.0005714285714285715,2,4
peninsuladailynews.com,4.798625673607078e-06,2,2
mirror.co.uk,0.0011148272017837237,1,5
americablog.com,2.09082108634882e-06,2,5
bb4sp.com,2.076821632174121e-06,0,0
firstinfreedomdaily.com,3.657854529320081e-07,1,1
fresnobee.com,2.7947793521701458e-05,2,4
bostonglobe.com,0.00025906735751295336,2,4
americanpatriotdaily.com,6.824680775556724e-06,0,0
helsinkitimes.fi,4.117073090398574e-06,2,4
shameproject.com,3.588010304765595e-07,2,4
pri.org-programs-globalpost,4.697702823319397e-05,2,4
tribunemagazine.org,2.680708575613541e-07,2,5
dailywire.com,0.0003181673560292714,1,1
skepticalscience.com,1.4929606903450232e-05,2,3
todayifoundout.com,6.81988678987929e-05,2,3
bismarcktribune.com,1.2188433176915108e-05,2,3
sbs.com.au,0.0002935995302407516,2,4
researchantisemitism.ca,0.0,0,0
occupydemocrats.com,1.2991602228319614e-06,0,6
vanityfair.com,0.0005035246727089627,2,5
eurasiareview.com,4.773406398273937e-06,2,3
thedailyvox.co.za,3.7081122371411936e-06,2,5
newbernsj.com,1.583328187516724e-06,2,3
verafiles.org,1.0687026163977457e-06,2,3
afa.net,4.519671871822106e-06,0,0
freedomcrossroads.com,7.130465412607948e-08,1,1
noozhawk.com,9.952229299363057e-06,2,3
dailydems.com,0.0,1,5
crisismagazine.com,7.0851134680921905e-06,1,1
thenewsliteracyproject.org,1.6186153716664616e-06,2,3
wral.com,0.00010359473738734072,2,3
dieharddemocrat.com,1.7189603040496984e-07,2,5
thesternfacts.com,1.0092131064487707e-06,1,5
truthinmedia.com,7.916904173791879e-06,0,0
kff.org,2.452182442373713e-05,2,3
cosmosmagazine.com,1.6507643038726928e-05,2,3
rightwingnews.com,2.892146088083201e-06,0,0
mediashift.org,5.601801539375064e-06,2,3
thebalance.com,0.0016722408026755853,2,3
christianpost.com,6.178942165101334e-05,1,1
pogo.org,2.5803455082635564e-06,2,3
africanarguments.org,5.643340857787809e-06,2,4
newswithviews.com,5.971147415687399e-06,0,0
metro.co.uk,0.0008305647840531563,2,4
knowyourmeme.com,0.0012360939431396785,2,3
mediamatters.org,3.5578325683993314e-05,2,5
crisisgroup.org,8.783564194678917e-06,2,4
newsweek.com,0.0009165902841429881,2,4
climateactiontracker.org,2.571573314269403e-06,2,3
thepublicdiscourse.com,5.126470015276882e-06,0,0
ocregister.com,0.00010506408909434756,2,2
taxjustice.net,2.2044057252825502e-06,2,4
theguardian.com-observer,0.007936507936507936,2,4
howstuffworks.com,0.0005624296962879642,2,3
dailyprogress.com,1.1561762937612727e-05,2,3
libcom.org,1.8260170915199767e-05,2,5
zeit.de,0.0006540222367560497,2,4
statesmanjournal.com,8.112668743509865e-06,2,2
renewamerica.com,2.0657443806588485e-06,0,0
scienceblogs.com,1.8218586602051405e-05,2,3
eurasiagroup.net,3.506729413744977e-06,2,3
shtfplan.com,1.8161015563990334e-05,0,0
sourcewatch.org-index.php-SourceWatch,9.570843382718884e-06,2,5
weeklystandard.com,4.289452236949342e-05,2,1
joeforamerica.com,4.758324689043482e-06,0,0
greentechmedia.com,2.8062298302230956e-05,2,4
news.cgtn.com,4.450378282153984e-05,2,3
opendemocracy.net,2.38004569687738e-05,2,4
breakingdefense.com,1.0101622320544679e-05,2,2
mprnews.org,3.2222723464587226e-05,2,4
newsbreakshere.com,1.3230208269938586e-07,0,0
egyptianstreets.com,7.221363682317769e-06,1,4
70news.wordpress.com,1.0048605102882644e-06,0,0
poynter.org,2.0852448077404288e-05,2,3
addictinginfo.org,2.915018466641986e-06,1,5
surenews.com,3.223175924165117e-06,0,0
janes.com,1.8850496710588324e-05,2,3
nova-magazine.net,2.0441620775228025e-06,1,5
thewest.com.au,4.9231981094919265e-05,2,2
usaconservativereport.com,7.360806414618915e-08,0,0
express.co.uk,0.0018315018315018317,2,1
observatory.journalism.wisc.edu,0.0005841121495327102,2,3
postbulletin.com,1.20756904276002e-05,2,2
oilandwaterdontmix.org,3.3884372290309105e-07,2,4
iwf.org,2.15556729142192e-06,2,1
newmoderate.com,1.7279740333886055e-07,2,4
ips-dc.org,2.6465388564834905e-06,2,5
worldtribune.com,3.5844863431070326e-06,2,1
merryjane.com,1.252944419385556e-05,2,5
heritage.org,5.0658561296859166e-05,1,1
desertsun.com,1.1124584218664826e-05,2,2
americanheritage.com,5.072614476227192e-06,2,3
westmonster.com,7.500018750046875e-06,2,2
fullfact.org,1.0578764188767468e-05,2,3
phnompenhpost.com,1.1863944286917627e-05,2,3
fair.org,9.024782051513457e-06,2,4
mainebeacon.com,6.570095029854511e-07,2,4
redice.tv,1.2555558345679632e-05,0,0
taiwannews.com.tw,5.08931752252023e-05,2,3
timesofisrael.com,0.00016095284081764043,2,4
newsmax.com,0.000138811771238201,1,1
rstreet.org,3.1420061080598737e-06,2,2
ft.com,0.0006357279084551813,2,3
singularityhub.com,2.3919439328342144e-05,2,3
agerpres.ro,2.145922746781116e-05,2,3
thepostemail.com,8.33762025975022e-07,1,1
swedishwire.com,4.731960465416704e-07,2,3
contrailscience.com,1.5530820136018924e-06,2,3
globalriskinsights.com,4.4461833961727255e-06,2,4
diversityinc.com,4.363763309478094e-05,2,4
pilotonline.com,3.047294002925402e-05,2,4
nation.com.pk,3.486142583231654e-05,2,2
daily-journal.com,4.5095218553976735e-06,2,3
ncpolicywatch.com,1.5498805817011802e-06,2,4
stopfake.org,9.363471226052922e-06,2,4
almasdarnews.com,5.041593143433325e-05,1,4
pgpf.org,3.0857625999401364e-06,2,3
realnewsrightnow.com,1.0796710889994472e-06,0,3
commoncause.org,3.147722622682489e-06,2,4
theestablishment.co,1.0101112132445782e-05,2,5
progresstribune.com,1.3440209882317523e-06,0,6
rightweb.irc-online.org,1.23619021011525e-06,2,4
rollingstone.com,0.0006697923643670463,2,4
daily49er.com,1.4351279129508812e-06,2,5
freepress.org,5.815370139586329e-07,2,5
defenddemocracy.org,2.6671716511659543e-06,2,1
independent.org,1.0027776942129699e-05,2,2
fbherald.com,2.1307287305331293e-06,2,2
mlive.com-grand-rapids-#-0,0.0001888930865130336,2,2
providencejournal.com,2.0247013565499087e-05,2,4
jewishbreakingnews.com,1.931963957280413e-06,1,2
realclimate.org,3.5521328781867067e-06,2,3
truth-out.org,2.1167157039138074e-05,1,5
ffrf.org,5.32577782985205e-06,2,3
warontherocks.com,1.4013452914798206e-05,2,3
socialistworker.org,6.679446674637472e-06,2,5
verifiedpolitics.com,1.824408025206021e-07,2,5
vermontindependent.org,4.959535152689209e-07,1,5
rapidcityjournal.com,1.0374735444246173e-05,2,3
maplight.org,9.571704509995729e-07,2,3
deseretnews.com,9.346667912889056e-05,2,2
hollywoodreporter.com,0.0008278145695364237,2,4
mic.com,9.923588369554429e-05,2,4
theonion.com,0.0003352329869259136,0,3
demos.org,4.128529376550779e-06,2,4
watchers.news,9.767818943708059e-06,2,3
themarysue.com,5.333333333333333e-05,2,5
ledevoir.com,2.8541256386106115e-05,2,3
auburnpub.com,4.8734605956343535e-06,2,3
quadrant.org.au,1.2613839905143925e-05,1,1
studentnewsdaily.com,8.120772123013459e-06,2,2
csmonitor.com,6.625149065853981e-05,2,3
patribotics.blog,4.8226936673209455e-06,0,1
mbganews.com,8.50968231653976e-07,0,0
politifeed.net,6.750120658406771e-07,1,1
bloomberg.com,0.002824858757062147,2,4
itsgoingdown.org,5.2637396764905604e-06,1,5
republicanssucks.org,1.0485735991187787e-07,1,5
bipartisanpolicy.org,2.9506706874472567e-06,2,2
antifascistnews.net,6.257489432664721e-07,2,5
reason.com,8.882572392965002e-05,2,2
kentucky.com,3.547105561861521e-05,2,4
dailysignal.com,2.7023375219564927e-05,1,1
courier-journal.com,2.162349176144964e-05,2,4
vancouversun.com,5.551237926057511e-05,2,4
timescolonist.com,2.279617936033921e-05,2,4
techxplore.com,1.0848810970317653e-05,2,3
dailyrecord.com,4.903451048848179e-06,2,3
vivaliberty.com,9.256974158045801e-08,1,1
newsite.thehindu.com,0.0008960573476702508,2,4
scotusblog.com,2.736052969985499e-05,2,3
consumerist.com,2.7911910012002118e-05,2,3
dailynews.com,3.235512990584657e-05,2,2
edmontonjournal.com,2.763346965845032e-05,2,4
hcn.org,1.0812330381567137e-05,2,4
icenews.is,2.020287729378418e-06,2,4
680news.com,1.922263657683288e-05,2,3
jezebel.com,0.00040160642570281126,1,5
takepart.com,1.204862826367218e-05,2,5
abcnews.go.com,0.0012547051442910915,2,4
spectator.co.uk,6.884681583476765e-05,2,2
americasquarterly.org,4.039098473220777e-06,2,2
en.wikinews.org-wiki-Main_Page,1.8230211105844604e-05,2,3
nautil.us,4.01010546577375e-05,2,3
nj.com-starledger,0.0002946375957572186,2,4
punchingbagpost.com,1.08811796939777e-06,2,2
digitaljournal.com,2.971150132216181e-05,2,3
triblive.com,4.380393359323668e-05,2,2
crimeresearch.org,9.607070804111826e-06,1,1
themonthly.com.au,5.588309257034283e-06,2,4
theoslotimes.com,2.1946404685118475e-07,2,4
euronews.com,0.00049800796812749,2,3
counterpunch.org,3.101929400086854e-05,2,5
pennlive.com,6.0259114191021385e-05,2,4
toprightnews.com,1.043993903075606e-06,0,0
newsobserver.com,6.148548942449583e-05,2,4
altoday.com,1.1283905314493723e-06,2,3
humanprogress.org,5.6347869205326e-06,1,2
conservativemedia.com,8.479843835195932e-07,0,0
newsbiscuit.com,1.8766127140511376e-06,0,3
news24.com,0.00036724201248622835,2,3
chicagotribune.com,0.0006176652254478072,2,4
thelondoneconomic.com,9.933051234678266e-06,1,5
ebar.com,2.536448768807768e-06,2,5
toledoblade.com,1.845358922310389e-05,2,2
consmovement.com,5.92223887160977e-08,0,0
jta.org,1.910037245726292e-05,2,3
youngcons.com,9.141352737378076e-07,1,1
reverbpress.com,2.24753445470319e-06,1,5
rooseveltinstitute.org,3.791469194312796e-06,2,4
therebel.media,1.2896070567298144e-05,1,1
inquirer.net,0.001536098310291859,2,4
thelapine.ca,3.190813520242681e-07,0,3
newpol.org,1.6587076345336295e-06,2,5
voiceofsandiego.org,6.186319572896497e-06,2,3
economist.com,0.0005353319057815847,2,3
newrepublic.com,8.728288382648163e-05,2,5
lifesitenews.com,3.812719231355803e-05,1,1
nextbigfuture.com,2.6850683349891252e-05,2,3
politifact.com,0.000136035913481159,2,3
tennesseestar.com,2.2962481601311617e-06,2,1
pluralist.com,8.832439784841768e-06,2,4
stuff.co.nz,0.00030497102775236347,2,4
backchannel.com,6.028056019447956e-08,2,4
cincinnati.com,3.150499354147633e-05,2,2
sbgi.net,5.565976300072914e-06,1,1
thefloridasqueeze.com,1.775842819441714e-07,1,5
earthsky.org,5.205080158234437e-05,2,3
countercurrents.org,5.468754272464275e-06,2,5
newmatilda.com,5.797740040932045e-06,2,4
theverge.com,0.002710027100271003,2,4
americanactionforum.org,2.1355793933673176e-06,2,2
loonwatch.com,6.252074907359879e-07,0,6
dawn.com,0.0006747638326585696,2,4
everydayfeminism.com,2.1197668256491786e-05,2,5
weforum.org,0.00019215987701767868,2,3
thereligionofpeace.com,9.661369015989563e-06,0,0
i24news.tv,2.48071246061869e-05,2,3
voiceofeurope.com,2.0636853292609944e-05,0,0
aclu.org,5.1872600892208726e-05,2,4
thetandd.com,3.4306376526204927e-06,2,3
affinitymagazine.us,8.04887275537061e-06,2,4
legalinsurrection.com,1.4732530901483566e-05,1,1
poststar.com,1.185311618424484e-05,2,3
eff.org,8.485362749257531e-05,2,4
nationalcenter.org,1.1081609404297005e-06,1,1
bluenationreview.com,5.261809209955132e-07,1,5
newslookup.com,1.07609845439979e-06,2,3
realclearpolitics.com,0.00021523891519586744,2,2
thebaffler.com,2.0462870122163332e-05,2,4
presstv.com,9.232757824762255e-05,1,4
futurism.com,0.0001452643811737362,2,3
hoggwatch.com,1.676361624729687e-06,0,0
newrevolutionnow.org,0.0,2,1
lethbridgeherald.com,1.286029730435308e-06,2,4
valleynewslive.com,7.447069950328043e-06,2,2
highline.huffingtonpost.com,0.0038314176245210726,2,4
crosscut.com,7.691124442393478e-06,2,4
yesimright.com,1.0285219419728494e-06,0,0
vidmax.com,1.871397559697582e-05,0,0
world.wng.org,8.422896802668375e-06,1,1
thecipherbrief.com,6.658631917486233e-06,2,3
emptywheel.net,6.358370476814203e-06,2,4
codepink.org,1.9149421017255543e-06,1,5
leftscoop.com,9.965000923755586e-08,1,5
freep.com,0.00010981770261366131,2,4
sltrib.com,7.28862973760933e-05,2,4
securingdemocracy.gmfus.org,5.006809260594408e-06,2,3
ipatriot.com,1.46437540727941e-06,1,1
news-gazette.com,1.5252737866447027e-05,2,2
studionewsnetwork.com,1.980315662316573e-06,0,1
mcall.com,3.405182688051214e-05,2,3
conservativetribune.com,4.354262823304015e-05,0,0
dailysabah.com,3.048780487804878e-05,1,1
oneindia.com,0.000727802037845706,1,4
newsthump.com,1.496625110376102e-05,0,3
inews.co.uk,5.912262031453234e-05,2,4
bullshitnews.org,1.6292262332142859e-07,0,3
atlantablackstar.com,2.3139577934098486e-05,2,4
ncse.com,4.0336731030643825e-06,2,3
disobedientmedia.com,3.426828641433785e-06,2,1
renewedright.com,4.391126411747141e-06,1,1
newsone.com,1.792468049257022e-05,2,4
chron.com,0.001694915254237288,2,4
imediaethics.org,1.5284653749096296e-06,2,3
transparency.org,2.3706794367265654e-05,2,3
adaa.org,2.45188181929631e-05,2,3
alternet.org,8.061265618702138e-05,1,5
puppetstringnews.com,2.164919216039454e-06,0,0
limacharlienews.com,8.558588243752017e-07,2,3
calwatchdog.com,5.408244002663019e-07,2,4
sfchronicle.com,9.771350400625366e-05,2,4
en.mercopress.com,3.642854540818185e-06,2,3
realclearscience.com,2.0875519278542054e-05,2,3
israelnationalnews.com,3.643916481434245e-05,2,2
mayoclinic.org,0.0010449320794148381,2,3
progressivestoday.com,0.0,0,0
projectcensored.org,1.6151514123691524e-06,2,5
billmoyers.com,7.842399146746973e-06,2,4
pressdemocrat.com,3.159258206173191e-05,2,4
fastcompany.com,0.00042105263157894734,2,4
dailysquib.co.uk,9.847162195562672e-07,0,3
citypaper.com,2.0465885415600737e-06,1,5
mercurynews.com,0.0002866150759529952,2,4
jihadwatch.org,2.2721076070162686e-05,0,0
thepeoplestruth.com,0.0,0,0
caribbeanlifenews.com,1.0097899132085569e-06,2,4
sootoday.com,1.2567234705675365e-05,2,4
mexiconewsdaily.com,8.488892284445802e-06,2,4
financialexpress.com,0.0002649006622516557,2,3
conservativedailypost.com,1.8463810930576073e-05,0,0
cosmopolitan.com,0.0005717552887364207,2,5
smirkingchimp.com,1.2207120657622005e-06,2,5
pacificresearch.org-home,7.090468708343497e-07,2,2
truthbetold.news,2.4332273743919364e-07,2,3
thepeoplescube.com,2.9179189402118414e-06,0,3
cdt.org,2.2728357489789284e-06,2,3
patrioticviralnews.com,2.9812568382578733e-06,0,0
thenewcivilrightsmovement.com,5.37611285536106e-06,1,5
bipartisanreport.com,6.269671093054459e-06,0,6
viralthread.com,6.997900629811057e-05,1,3
concernedwomen.org-blog,1.0611126615146108e-06,0,0
thehardtimes.net,3.4050667393080905e-05,0,3
trib.com,1.0607265977194378e-05,2,3
dailyjournalonline.com,4.6674227891585095e-06,2,3
ntknetwork.com,9.764385380762208e-06,1,1
thatsnonsense.com,5.908978101327158e-06,2,3
denverpost.com,0.00014721036360959813,2,4
telesurtv.net-english,0.00010097950116126426,1,5
metro.us,3.0344409042633894e-05,2,4
baxterbulletin.com,1.4503410476973659e-06,2,3
npr.org-sections-news,0.002242152466367713,2,4
judicialnetwork.com,2.0237847324465515e-07,1,1
dailykos.com,0.000236854571293226,1,5
speisa.com,1.6284284525532944e-06,0,0
montrealgazette.com,3.509264458169568e-05,2,4
theconversation.com-us,0.00034258307639602604,2,3
thequint.com,0.00010180189351521938,1,2
outlook.monmouth.edu,1.7053206002728514e-05,2,3
aclj.org,1.251345196085792e-05,1,1
elpais.com-elpais-inenglish.html,0.002564102564102564,2,4
tytnetwork.com,2.1696680407897596e-05,2,5
geneticliteracyproject.org,1.3944084222268705e-05,2,3
albawaba.com,5.951672419950006e-05,2,3
lawfareblog.com,2.8318985047575896e-05,2,4
nowthisnews.com,7.759938541286753e-06,1,5
againstcronycapitalism.org,0.0,1,1
gotnews.com,1.5564735290546913e-06,0,0
other98.com,9.055518478238232e-07,1,5
thinkprogress.org,0.00030618493570116345,1,5
post-gazette.com,7.428316743425942e-05,2,4
personalliberty.com,3.3356460479265623e-06,0,0
foreignpolicyi.org,7.23291729593047e-07,2,2
tomdispatch.com,4.39247656613752e-06,2,4
bellingcat.com,1.0253255408592227e-05,2,3
gizmodo.com,0.0022883295194508014,2,5
star-telegram.com,5.250997689561016e-05,2,2
arkansasonline.com,2.099252666050886e-05,2,2
trumpservativenews.info,4.582672091939401e-07,0,0
viraldevil.com,2.31077149959134e-07,0,3
timesofsandiego.com,6.086908885060898e-06,2,3
votevets.org,1.732042615176504e-06,2,4
kansascity.com,0.00011142061281337048,2,4
bizpacreview.com,0.00015262515262515263,1,1
usatoday.com,0.0030120481927710845,2,3
