source_url_processed,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,fact,bias
themaven.net-beingliberal,1,29,3,1,1,0,0,0,0,0,0,0,1,5
merionwest.com,0,14,2,1,1,0,0,0,0,1,0,0,2,3
cpj.org,1,11,3,3,0,0,0,0,0,1,0,0,2,3
adelaidenow.com.au,0,22,4,3,1,0,0,0,0,0,1,0,1,1
redpepper.org.uk,0,20,4,3,0,0,0,0,0,0,0,0,2,5
worldsocialism.org-spgb,0,27,3,1,1,0,0,0,0,0,0,0,2,5
examine.com,1,11,2,1,0,0,0,0,0,1,0,0,2,3
freespeech.org,1,18,3,2,1,0,0,0,0,1,0,0,2,5
epi.org,0,11,3,3,0,0,0,0,0,1,0,0,2,4
atlanticmedia.com,0,21,3,2,1,0,0,0,0,1,0,0,2,4
citizencritics.org,1,18,2,1,1,0,0,0,0,1,0,0,2,5
thestranger.com,0,19,3,2,1,0,0,0,0,1,0,0,2,4
bangkokpost.com,0,19,3,2,1,0,0,0,0,1,0,0,2,3
fpif.org,0,8,2,1,0,0,0,0,0,1,0,0,2,4
bigamericannews.com,0,19,2,1,1,0,0,0,0,1,0,0,0,3
psypost.org,0,15,3,2,0,0,0,0,0,1,0,0,2,3
tharawat-magazine.com-#gs.a9CcWpc,0,37,4,1,1,1,1,0,0,0,0,0,2,2
daily.jstor.org,0,15,3,1,0,0,0,0,0,1,0,0,2,3
beliefnet.com,0,17,3,2,0,0,0,0,0,1,0,0,1,1
outsidethebeltway.com,0,25,3,2,1,0,0,0,0,1,0,0,2,4
placesjournal.org,1,16,2,1,1,0,0,0,0,1,0,0,2,3
swarajyamag.com,1,14,2,1,1,0,0,0,0,1,0,0,2,2
politicalgarbagechute.com,0,29,3,2,1,0,0,0,0,1,0,0,0,3
rewire.news,1,10,2,1,0,0,0,0,0,0,0,0,2,5
defconwarningsystem.com,1,27,3,2,1,0,0,0,0,1,0,0,2,3
pnas.org,0,12,3,2,0,0,0,0,0,1,0,0,2,3
quillette.com,0,13,2,1,0,0,0,0,0,1,0,0,2,2
truthexaminer.com,1,21,3,2,1,0,0,0,0,1,0,0,0,6
aljazeera.com,0,17,3,2,0,0,0,0,0,1,0,0,2,4
milo.yiannopoulos.net,1,20,3,1,1,0,0,1,0,0,0,0,0,0
magicvalley.com,0,15,2,1,1,0,0,0,0,1,0,0,2,3
msn.com,0,11,3,3,0,0,0,0,0,1,0,0,2,4
nationmaster.com,0,20,3,2,1,0,0,0,0,1,0,0,2,3
mentaldaily.com,0,19,3,2,1,0,0,0,0,1,0,0,2,3
skeptic.com,0,15,3,2,0,0,0,0,0,1,0,0,2,3
panampost.com,1,12,2,1,0,0,0,0,0,1,0,0,2,4
marketwatch.com,0,19,3,2,1,0,0,0,0,1,0,0,2,3
novinite.com,0,16,3,2,0,0,0,0,0,1,0,0,2,3
liberationnews.org,1,22,3,2,1,0,0,0,0,1,0,0,2,5
abriluno.com,0,12,2,1,0,0,0,0,0,1,0,0,0,3
detroitnews.com,0,19,3,2,1,0,0,0,0,1,0,0,2,2
thechronicleherald.ca,0,19,2,1,1,0,0,0,0,0,0,0,1,2
pinknews.co.uk,0,23,4,2,0,0,0,0,0,0,0,0,2,5
theduran.com,0,10,2,1,0,0,0,0,0,1,0,0,0,0
teaparty.org,1,16,3,2,0,0,0,0,0,1,0,0,0,0
frc.org,0,11,3,3,0,0,0,0,0,1,0,0,0,0
stocksnewsdaily.com,0,17,2,1,1,0,0,0,0,1,0,0,1,4
theoutline.com,1,12,2,1,0,0,0,0,0,1,0,0,2,5
retractionwatch.com,0,19,2,1,1,0,0,0,0,1,0,0,2,3
uawire.org,1,10,2,1,0,0,0,0,0,1,0,0,1,4
photographyisnotacrime.com,1,24,2,1,1,0,0,0,0,1,0,0,2,5
babylonbee.com,0,14,2,1,1,0,0,0,0,1,0,0,0,3
deadline.com,0,12,2,1,0,0,0,0,0,1,0,0,2,4
polygraph.info,0,18,3,1,0,0,0,0,0,0,0,0,2,3
conservativebyte.com,0,20,2,1,1,0,0,0,0,1,0,0,0,0
ntd.tv,0,10,3,3,0,0,0,0,0,0,0,0,2,2
fas.org,1,7,2,2,0,0,0,0,0,1,0,0,2,3
guttmacher.org,1,18,3,2,1,0,0,0,0,1,0,0,2,4
al-monitor.com-pulse-home.html,0,34,4,1,2,0,1,0,0,0,0,0,2,4
secondnexus.com,0,14,2,1,1,0,0,0,0,1,0,0,1,4
nwitimes.com,0,16,3,2,0,0,0,0,0,1,0,0,2,3
morningstaronline.co.uk,0,27,4,3,1,0,0,0,0,0,0,0,2,5
climaterealityproject.org,1,29,3,2,1,0,0,0,0,1,0,0,2,5
theproudliberal.org,0,17,2,1,1,0,0,0,0,1,0,0,0,6
nccivitas.org,1,17,3,2,0,0,0,0,0,1,0,0,1,1
vox.com,0,11,3,3,0,0,0,0,0,1,0,0,2,5
freedumjunkshun.com,0,19,2,1,1,0,0,0,0,1,0,0,0,3
aol.com,1,11,3,3,0,0,0,0,0,1,0,0,2,4
lgbtqnation.com,0,19,3,2,1,0,0,0,0,1,0,0,2,5
beaware.one,0,15,3,2,0,0,0,0,0,0,0,0,0,0
liberalsociety.com,0,18,2,1,1,0,0,0,0,1,0,0,0,6
mwcnews.net,0,10,2,1,0,0,0,0,0,0,0,0,2,4
taxpayer.com,0,16,3,2,0,0,0,0,0,1,0,0,2,2
santamariatimes.com,0,18,2,1,1,0,0,0,0,1,0,0,2,3
wilderness.org,0,14,2,1,1,0,0,0,0,1,0,0,2,4
jamestown.org,0,17,3,2,0,0,0,0,0,1,0,0,2,2
bluntforcetruth.com,1,19,2,1,1,0,0,0,0,1,0,0,0,0
independent.co.uk,0,23,4,2,1,0,0,0,0,0,0,0,2,4
desmogblog.com,1,18,3,2,1,0,0,0,0,1,0,0,2,5
niskanencenter.org,1,18,2,1,1,0,0,0,0,1,0,0,2,3
scientificamerican.com,1,26,3,2,1,0,0,0,0,1,0,0,2,3
greenleft.org.au,1,20,4,3,0,0,0,0,0,0,0,0,1,5
texasmonthly.com,1,20,3,2,1,0,0,0,0,1,0,0,2,4
pravdareport.com,0,20,3,2,1,0,0,0,0,1,0,0,1,5
hindustantimes.com,0,22,3,2,1,0,0,0,0,1,0,0,2,4
peninsuladailynews.com,0,26,3,2,1,0,0,0,0,1,0,0,2,2
mirror.co.uk,0,16,4,3,0,0,0,0,0,0,0,0,1,5
americablog.com,0,15,2,1,1,0,0,0,0,1,0,0,2,5
bb4sp.com,0,9,2,1,0,1,0,0,0,1,0,0,0,0
firstinfreedomdaily.com,0,23,2,1,1,0,0,0,0,1,0,0,1,1
fresnobee.com,0,17,3,2,0,0,0,0,0,1,0,0,2,4
bostonglobe.com,1,19,3,2,1,0,0,0,0,1,0,0,2,4
americanpatriotdaily.com,0,28,3,2,1,0,0,0,0,1,0,0,0,0
helsinkitimes.fi,0,20,3,2,1,0,0,0,0,0,0,0,2,4
shameproject.com,0,14,2,1,1,0,0,0,0,1,0,0,2,4
pri.org-programs-globalpost,0,29,3,2,1,0,0,0,0,0,0,0,2,4
tribunemagazine.org,0,23,3,2,1,0,0,0,0,1,0,0,2,5
dailywire.com,0,17,3,2,0,0,0,0,0,1,0,0,1,1
skepticalscience.com,1,19,2,1,1,0,0,0,0,1,0,0,2,3
todayifoundout.com,0,22,3,2,1,0,0,0,0,1,0,0,2,3
bismarcktribune.com,0,19,2,1,1,0,0,0,0,1,0,0,2,3
sbs.com.au,0,14,4,4,0,0,0,0,0,0,1,0,2,4
researchantisemitism.ca,0,23,2,1,1,0,0,0,0,0,0,0,0,0
occupydemocrats.com,0,23,3,2,1,0,0,0,0,1,0,0,0,6
vanityfair.com,0,18,3,2,1,0,0,0,0,1,0,0,2,5
eurasiareview.com,0,21,3,2,1,0,0,0,0,1,0,0,2,3
thedailyvox.co.za,1,21,4,3,1,0,0,0,0,0,0,0,2,5
newbernsj.com,0,17,3,2,0,0,0,0,0,1,0,0,2,3
verafiles.org,0,13,2,1,0,0,0,0,0,1,0,0,2,3
afa.net,0,10,3,3,0,0,0,0,0,0,0,0,0,0
freedomcrossroads.com,0,21,2,1,1,0,0,0,0,1,0,0,1,1
noozhawk.com,1,16,3,2,0,0,0,0,0,1,0,0,2,3
dailydems.com,1,17,3,2,0,0,0,0,0,1,0,0,1,5
crisismagazine.com,0,22,3,2,1,0,0,0,0,1,0,0,1,1
thenewsliteracyproject.org,0,30,3,2,1,0,0,0,0,1,0,0,2,3
wral.com,0,12,3,2,0,0,0,0,0,1,0,0,2,3
dieharddemocrat.com,0,19,2,1,1,0,0,0,0,1,0,0,2,5
thesternfacts.com,1,15,2,1,1,0,0,0,0,1,0,0,1,5
truthinmedia.com,0,15,2,1,1,0,0,0,0,1,0,0,0,0
kff.org,0,7,2,2,0,0,0,0,0,1,0,0,2,3
cosmosmagazine.com,1,18,2,1,1,0,0,0,0,1,0,0,2,3
rightwingnews.com,1,17,2,1,1,0,0,0,0,1,0,0,0,0
mediashift.org,0,14,2,1,1,0,0,0,0,1,0,0,2,3
thebalance.com,1,18,3,2,1,0,0,0,0,1,0,0,2,3
christianpost.com,0,21,3,2,1,0,0,0,0,1,0,0,1,1
pogo.org,0,7,2,2,0,0,0,0,0,1,0,0,2,3
africanarguments.org,0,20,2,1,1,0,0,0,0,1,0,0,2,4
newswithviews.com,0,21,3,2,1,0,0,0,0,1,0,0,0,0
metro.co.uk,0,11,3,2,0,0,0,0,0,0,0,0,2,4
knowyourmeme.com,0,16,2,1,1,0,0,0,0,1,0,0,2,3
mediamatters.org,0,16,2,1,1,0,0,0,0,1,0,0,2,5
crisisgroup.org,1,19,3,2,1,0,0,0,0,1,0,0,2,4
newsweek.com,0,16,3,2,0,0,0,0,0,1,0,0,2,4
climateactiontracker.org,0,24,2,1,1,0,0,0,0,1,0,0,2,3
thepublicdiscourse.com,1,26,3,2,1,0,0,0,0,1,0,0,0,0
ocregister.com,0,18,3,2,1,0,0,0,0,1,0,0,2,2
taxjustice.net,1,17,3,2,1,0,0,0,0,0,0,0,2,4
theguardian.com-observer,1,28,3,1,2,0,0,0,0,0,0,0,2,4
howstuffworks.com,0,21,3,2,1,0,0,0,0,1,0,0,2,3
dailyprogress.com,0,21,3,2,1,0,0,0,0,1,0,0,2,3
libcom.org,0,10,2,1,0,0,0,0,0,1,0,0,2,5
zeit.de,0,25,3,1,1,0,0,0,0,0,0,0,2,4
statesmanjournal.com,0,24,3,2,1,0,0,0,0,1,0,0,2,2
renewamerica.com,0,20,3,2,1,0,0,0,0,1,0,0,0,0
scienceblogs.com,0,15,2,1,1,0,0,0,0,1,0,0,2,3
eurasiagroup.net,0,19,3,2,1,0,0,0,0,0,0,0,2,3
shtfplan.com,0,16,3,2,0,0,0,0,0,1,0,0,0,0
sourcewatch.org-index.php-SourceWatch,0,40,4,1,2,0,0,0,0,0,0,0,2,5
weeklystandard.com,0,22,3,2,1,0,0,0,0,1,0,0,2,1
joeforamerica.com,0,17,2,1,1,0,0,0,0,1,0,0,0,0
greentechmedia.com,1,22,3,2,1,0,0,0,0,1,0,0,2,4
news.cgtn.com,1,13,3,1,0,0,0,0,0,1,0,0,2,3
opendemocracy.net,1,20,3,2,1,0,0,0,0,0,0,0,2,4
breakingdefense.com,0,19,2,1,1,0,0,0,0,1,0,0,2,2
mprnews.org,1,15,3,2,0,0,0,0,0,1,0,0,2,4
newsbreakshere.com,1,18,2,1,1,0,0,0,0,1,0,0,0,0
egyptianstreets.com,1,19,2,1,1,0,0,0,0,1,0,0,1,4
70news.wordpress.com,1,20,3,1,0,2,0,0,1,1,0,0,0,0
poynter.org,0,15,3,2,0,0,0,0,0,1,0,0,2,3
addictinginfo.org,0,21,3,2,1,0,0,0,0,1,0,0,1,5
surenews.com,0,16,3,2,0,0,0,0,0,1,0,0,0,0
janes.com,0,13,3,2,0,0,0,0,0,1,0,0,2,3
nova-magazine.net,1,20,3,2,1,0,1,0,0,0,0,0,1,5
thewest.com.au,1,12,3,2,0,0,0,0,0,0,1,0,2,2
usaconservativereport.com,0,25,2,1,1,0,0,0,0,1,0,0,0,0
express.co.uk,0,17,4,3,0,0,0,0,0,0,0,0,2,1
observatory.journalism.wisc.edu,1,31,4,1,2,0,0,0,0,0,0,0,2,3
postbulletin.com,0,20,3,2,1,0,0,0,0,1,0,0,2,2
oilandwaterdontmix.org,0,26,3,2,1,0,0,0,0,1,0,0,2,4
iwf.org,0,7,2,2,0,0,0,0,0,1,0,0,2,1
newmoderate.com,1,15,2,1,1,0,0,0,0,1,0,0,2,4
ips-dc.org,0,14,3,2,0,0,1,0,0,1,0,0,2,5
worldtribune.com,0,16,2,1,1,0,0,0,0,1,0,0,2,1
merryjane.com,1,17,3,2,0,0,0,0,0,1,0,0,2,5
heritage.org,0,16,3,2,0,0,0,0,0,1,0,0,1,1
desertsun.com,0,17,3,2,0,0,0,0,0,1,0,0,2,2
americanheritage.com,0,24,3,2,1,0,0,0,0,1,0,0,2,3
westmonster.com,0,19,3,2,1,0,0,0,0,1,0,0,2,2
fullfact.org,1,12,2,1,0,0,0,0,0,1,0,0,2,3
phnompenhpost.com,0,21,3,2,1,0,0,0,0,1,0,0,2,3
fair.org,0,8,2,1,0,0,0,0,0,1,0,0,2,4
mainebeacon.com,0,15,2,1,1,0,0,0,0,1,0,0,2,4
redice.tv,1,9,2,1,0,0,0,0,0,0,0,0,0,0
taiwannews.com.tw,1,21,4,3,1,0,0,0,0,0,1,0,2,3
timesofisrael.com,0,21,3,2,1,0,0,0,0,1,0,0,2,4
newsmax.com,0,15,3,2,0,0,0,0,0,1,0,0,1,1
rstreet.org,0,15,3,2,0,0,0,0,0,1,0,0,2,2
ft.com,1,10,3,3,0,0,0,0,0,1,0,0,2,3
singularityhub.com,1,17,2,1,1,0,0,0,0,1,0,0,2,3
agerpres.ro,1,21,3,1,0,0,0,0,0,0,0,0,2,3
thepostemail.com,0,20,3,2,1,0,0,0,0,1,0,0,1,1
swedishwire.com,0,19,3,2,1,0,0,0,0,1,0,0,2,3
contrailscience.com,0,19,2,1,1,0,0,0,0,1,0,0,2,3
globalriskinsights.com,0,22,2,1,1,0,0,0,0,1,0,0,2,4
diversityinc.com,0,20,3,2,1,0,0,0,0,1,0,0,2,4
pilotonline.com,0,14,2,1,1,0,0,0,0,1,0,0,2,4
nation.com.pk,0,13,3,2,0,0,0,0,0,0,1,0,2,2
daily-journal.com,0,21,3,2,1,0,1,0,0,1,0,0,2,3
ncpolicywatch.com,0,21,3,2,1,0,0,0,0,1,0,0,2,4
stopfake.org,0,16,3,2,0,0,0,0,0,1,0,0,2,4
almasdarnews.com,1,20,3,2,1,0,0,0,0,1,0,0,1,4
pgpf.org,0,12,3,2,0,0,0,0,0,1,0,0,2,3
realnewsrightnow.com,0,20,2,1,1,0,0,0,0,1,0,0,0,3
commoncause.org,0,19,3,2,1,0,0,0,0,1,0,0,2,4
theestablishment.co,1,17,2,1,1,0,0,0,0,0,0,0,2,5
progresstribune.com,0,18,2,1,1,0,0,0,0,1,0,0,0,6
rightweb.irc-online.org,0,23,3,1,1,0,1,0,0,1,0,0,2,4
rollingstone.com,0,20,3,2,1,0,0,0,0,1,0,0,2,4
daily49er.com,0,17,3,2,0,2,0,0,0,1,0,0,2,5
freepress.org,0,13,2,1,0,0,0,0,0,1,0,0,2,5
defenddemocracy.org,0,23,3,2,1,0,0,0,0,1,0,0,2,1
independent.org,0,19,3,2,1,0,0,0,0,1,0,0,2,2
fbherald.com,0,16,3,2,0,0,0,0,0,1,0,0,2,2
mlive.com-grand-rapids-#-0,0,30,3,1,1,1,1,0,0,0,0,0,2,2
providencejournal.com,0,25,3,2,1,0,0,0,0,1,0,0,2,4
jewishbreakingnews.com,0,22,2,1,1,0,0,0,0,1,0,0,1,2
realclimate.org,0,19,3,2,1,0,0,0,0,1,0,0,2,3
truth-out.org,0,17,3,2,0,0,1,0,0,1,0,0,1,5
ffrf.org,1,8,2,1,0,0,0,0,0,1,0,0,2,3
warontherocks.com,0,17,2,1,1,0,0,0,0,1,0,0,2,3
socialistworker.org,1,18,2,1,1,0,0,0,0,1,0,0,2,5
verifiedpolitics.com,0,20,2,1,1,0,0,0,0,1,0,0,2,5
vermontindependent.org,0,26,3,2,1,0,0,0,0,1,0,0,1,5
rapidcityjournal.com,0,20,2,1,1,0,0,0,0,1,0,0,2,3
maplight.org,0,12,2,1,0,0,0,0,0,1,0,0,2,3
deseretnews.com,0,19,3,2,1,0,0,0,0,1,0,0,2,2
hollywoodreporter.com,0,25,3,2,1,0,0,0,0,1,0,0,2,4
mic.com,1,7,2,2,0,0,0,0,0,1,0,0,2,4
theonion.com,0,16,3,2,0,0,0,0,0,1,0,0,0,3
demos.org,0,13,3,2,0,0,0,0,0,1,0,0,2,4
watchers.news,1,12,2,1,0,0,0,0,0,0,0,0,2,3
themarysue.com,1,18,3,2,1,0,0,0,0,1,0,0,2,5
ledevoir.com,0,16,3,2,0,0,0,0,0,1,0,0,2,3
auburnpub.com,0,13,2,1,0,0,0,0,0,1,0,0,2,3
