source_url_processed,has_about_usf0,fact,bias
abriluno.com,0,1,4
detroitnews.com,0,3,5
thechronicleherald.ca,1,2,5
theduran.com,0,1,7
teaparty.org,1,1,7
frc.org,0,1,7
stocksnewsdaily.com,-1,2,3
retractionwatch.com,0,3,4
uawire.org,0,2,3
photographyisnotacrime.com,0,3,2
babylonbee.com,0,1,4
polygraph.info,0,3,4
conservativebyte.com,0,1,7
fas.org,0,3,4
al-monitor.com-pulse-home.html,1,3,3
secondnexus.com,0,2,3
nwitimes.com,1,3,4
morningstaronline.co.uk,0,3,2
climaterealityproject.org,0,3,2
theproudliberal.org,1,1,1
nccivitas.org,0,2,6
vox.com,0,3,2
freedumjunkshun.com,0,1,4
aol.com,1,3,3
lgbtqnation.com,1,3,2
beaware.one,-1,1,7
liberalsociety.com,0,1,1
taxpayer.com,0,3,5
santamariatimes.com,0,3,4
jamestown.org,1,3,5
bluntforcetruth.com,0,1,7
independent.co.uk,0,3,3
desmogblog.com,1,3,2
niskanencenter.org,0,3,4
scientificamerican.com,0,3,4
greenleft.org.au,0,2,2
texasmonthly.com,0,3,3
pravdareport.com,0,2,2
hindustantimes.com,0,3,3
peninsuladailynews.com,0,3,5
mirror.co.uk,1,2,2
americablog.com,1,3,2
bb4sp.com,0,1,7
firstinfreedomdaily.com,0,2,6
fresnobee.com,-1,3,3
americanpatriotdaily.com,1,1,7
helsinkitimes.fi,0,3,3
pri.org-programs-globalpost,1,3,3
tribunemagazine.org,-1,3,2
dailywire.com,0,2,6
bismarcktribune.com,1,3,4
researchantisemitism.ca,0,1,7
occupydemocrats.com,1,1,1
thedailyvox.co.za,1,3,2
newbernsj.com,0,3,4
verafiles.org,0,3,4
afa.net,0,1,7
freedomcrossroads.com,1,2,6
noozhawk.com,1,3,4
dailydems.com,-1,2,2
crisismagazine.com,0,2,6
thenewsliteracyproject.org,0,3,4
wral.com,1,3,4
thesternfacts.com,0,2,2
truthinmedia.com,0,1,7
kff.org,1,3,4
rightwingnews.com,0,1,7
mediashift.org,0,3,4
thebalance.com,1,3,4
christianpost.com,1,2,6
pogo.org,0,3,4
newswithviews.com,0,1,7
metro.co.uk,0,3,3
thepublicdiscourse.com,0,1,7
ocregister.com,1,3,5
taxjustice.net,0,3,3
theguardian.com-observer,1,3,3
dailyprogress.com,1,3,4
libcom.org,0,3,2
zeit.de,0,3,3
statesmanjournal.com,0,3,5
renewamerica.com,0,1,7
eurasiagroup.net,0,3,4
shtfplan.com,0,1,7
weeklystandard.com,0,3,6
joeforamerica.com,0,1,7
greentechmedia.com,1,3,3
news.cgtn.com,-1,3,4
opendemocracy.net,0,3,3
breakingdefense.com,0,3,5
newsbreakshere.com,-1,1,7
egyptianstreets.com,0,2,3
70news.wordpress.com,0,1,7
poynter.org,0,3,4
addictinginfo.org,1,2,2
surenews.com,0,1,7
janes.com,0,3,4
nova-magazine.net,0,2,2
thewest.com.au,1,3,5
usaconservativereport.com,0,1,7
express.co.uk,1,3,6
postbulletin.com,1,3,5
oilandwaterdontmix.org,0,3,3
iwf.org,1,3,6
newmoderate.com,0,3,3
ips-dc.org,0,3,2
heritage.org,0,2,6
americanheritage.com,0,3,4
westmonster.com,0,3,5
phnompenhpost.com,1,3,4
fair.org,0,3,3
redice.tv,0,1,7
timesofisrael.com,1,3,3
newsmax.com,0,2,6
rstreet.org,0,3,5
thepostemail.com,1,2,6
swedishwire.com,-1,3,4
diversityinc.com,0,3,3
pilotonline.com,1,3,3
stopfake.org,0,3,3
almasdarnews.com,1,2,3
pgpf.org,0,3,4
realnewsrightnow.com,0,1,4
progresstribune.com,0,1,1
rightweb.irc-online.org,1,3,3
mlive.com-grand-rapids-#-0,1,3,5
providencejournal.com,0,3,3
jewishbreakingnews.com,1,2,5
truth-out.org,0,2,2
ffrf.org,0,3,4
vermontindependent.org,0,2,2
rapidcityjournal.com,0,3,4
theonion.com,0,1,4
demos.org,0,3,3
ledevoir.com,0,3,4
auburnpub.com,0,3,4
quadrant.org.au,-1,2,6
patribotics.blog,0,1,6
mbganews.com,0,1,7
politifeed.net,0,2,6
bloomberg.com,0,3,3
itsgoingdown.org,1,2,2
republicanssucks.org,0,2,2
bipartisanpolicy.org,0,3,5
antifascistnews.net,0,3,2
kentucky.com,-1,3,3
dailysignal.com,0,2,6
courier-journal.com,0,3,3
vancouversun.com,0,3,3
timescolonist.com,1,3,3
techxplore.com,0,3,4
dailyrecord.com,1,3,4
vivaliberty.com,1,2,6
newsite.thehindu.com,0,3,3
scotusblog.com,0,3,4
dailynews.com,1,3,5
hcn.org,1,3,3
680news.com,1,3,4
jezebel.com,0,2,2
takepart.com,1,3,2
nautil.us,0,3,4
triblive.com,0,3,5
crimeresearch.org,0,2,6
theoslotimes.com,0,3,3
euronews.com,0,3,4
pennlive.com,1,3,3
toprightnews.com,0,1,7
newsobserver.com,-1,3,3
altoday.com,0,3,4
humanprogress.org,0,2,5
conservativemedia.com,0,1,7
newsbiscuit.com,0,1,4
news24.com,0,3,4
chicagotribune.com,0,3,3
thelondoneconomic.com,0,2,2
ebar.com,0,3,2
consmovement.com,0,1,7
youngcons.com,0,2,6
reverbpress.com,1,2,2
therebel.media,1,2,6
inquirer.net,0,3,3
thelapine.ca,0,1,4
newpol.org,0,3,2
economist.com,0,3,4
newrepublic.com,0,3,2
lifesitenews.com,0,2,6
nextbigfuture.com,1,3,4
politifact.com,1,3,4
tennesseestar.com,0,3,6
pluralist.com,0,3,3
sbgi.net,0,2,6
thefloridasqueeze.com,0,2,2
countercurrents.org,0,3,2
newmatilda.com,1,3,3
theverge.com,0,3,3
loonwatch.com,0,1,1
dawn.com,0,3,3
everydayfeminism.com,0,3,2
weforum.org,0,3,4
thereligionofpeace.com,0,1,7
voiceofeurope.com,0,1,7
aclu.org,0,3,3
legalinsurrection.com,0,2,6
poststar.com,0,3,4
eff.org,1,3,3
nationalcenter.org,1,2,6
bluenationreview.com,0,2,2
realclearpolitics.com,0,3,5
thebaffler.com,0,3,3
presstv.com,0,2,3
hoggwatch.com,0,1,7
lethbridgeherald.com,1,3,3
valleynewslive.com,0,3,5
highline.huffingtonpost.com,1,3,3
crosscut.com,0,3,3
yesimright.com,0,1,7
vidmax.com,0,1,7
world.wng.org,0,2,6
thecipherbrief.com,1,3,4
codepink.org,1,2,2
leftscoop.com,-1,2,2
sltrib.com,1,3,3
ipatriot.com,0,2,6
news-gazette.com,0,3,5
studionewsnetwork.com,0,1,6
mcall.com,1,3,4
conservativetribune.com,0,1,7
dailysabah.com,1,2,6
oneindia.com,1,2,3
newsthump.com,0,1,4
bullshitnews.org,0,1,4
ncse.com,0,3,4
renewedright.com,0,2,6
transparency.org,0,3,4
adaa.org,1,3,4
alternet.org,0,2,2
puppetstringnews.com,0,1,7
calwatchdog.com,0,3,3
sfchronicle.com,1,3,3
progressivestoday.com,0,1,7
projectcensored.org,0,3,2
billmoyers.com,0,3,3
fastcompany.com,1,3,3
dailysquib.co.uk,0,1,4
citypaper.com,0,2,2
jihadwatch.org,0,1,7
thepeoplestruth.com,0,1,7
financialexpress.com,0,3,4
conservativedailypost.com,1,1,7
smirkingchimp.com,0,3,2
pacificresearch.org-home,0,3,5
truthbetold.news,1,3,4
thepeoplescube.com,0,1,4
patrioticviralnews.com,0,1,7
thenewcivilrightsmovement.com,0,2,2
bipartisanreport.com,1,1,1
viralthread.com,0,2,4
concernedwomen.org-blog,0,1,7
thehardtimes.net,0,1,4
trib.com,0,3,4
ntknetwork.com,0,2,6
thatsnonsense.com,1,3,4
denverpost.com,0,3,3
telesurtv.net-english,1,2,2
metro.us,1,3,3
npr.org-sections-news,0,3,3
judicialnetwork.com,0,2,6
dailykos.com,0,2,2
speisa.com,0,1,7
montrealgazette.com,0,3,3
thequint.com,1,2,5
outlook.monmouth.edu,1,3,4
aclj.org,0,2,6
elpais.com-elpais-inenglish.html,0,3,3
tytnetwork.com,1,3,2
geneticliteracyproject.org,1,3,4
nowthisnews.com,0,2,2
againstcronycapitalism.org,-1,2,6
gotnews.com,0,1,7
other98.com,1,2,2
thinkprogress.org,0,2,2
personalliberty.com,0,1,7
star-telegram.com,-1,3,5
trumpservativenews.info,0,1,7
viraldevil.com,0,1,4
votevets.org,0,3,3
bizpacreview.com,0,2,6
usatoday.com,1,3,4
thehornnews.com,0,1,7
colombiareports.com,1,2,3
focusonthefamily.com,1,1,7
heavy.com,0,3,3
rightalerts.com,0,1,7
allthatsfab.com,0,2,2
globetoday.com,0,2,2
fortnightlyreview.co.uk,0,3,5
prospect.org,1,3,2
fairus.org,0,1,7
judicialwatch.org,1,2,6
sfgate.com,0,3,3
businessinsider.com,0,3,3
deepstatenation.com,0,2,2
ir.net,1,2,2
elitedaily.com,0,2,2
chroniclesofdemocracy.com,1,3,2
mtstandard.com,0,3,4
esquire.com,1,3,2
takimag.com,1,1,7
squawker.org,0,1,7
americanewshub.com,0,2,6
morningconsult.com,0,3,3
carbonated.tv,0,3,2
pmnightlynews.com,0,1,7
gopusa.com,1,2,6
icij.org,1,3,4
9news.com.au,0,3,5
newint.org,1,3,2
inquisitr.com-news,1,2,3
fwweekly.com,0,3,3
consumerreports.org,1,3,4
trueviralnews.com,0,3,4
politicalsitenews.com,0,1,7
dailymail.co.uk,1,2,6
techcrunch.com,1,3,3
recode.net,0,3,4
stepfeed.com,0,2,3
thefiscaltimes.com,1,3,5
conservativetoday.com,0,2,6
pri.org,1,3,3
syriana-analysis.com,0,2,2
jordantimes.com,1,3,4
opednews.com,0,2,2
lohud.com,0,3,3
cato.org-regulation,0,2,5
clickhole.com,0,1,4
grist.org,0,3,3
wnd.com,0,2,6
breitbartunmasked.com,0,2,2
geologyin.com,0,3,4
progressiveliberal.net,0,2,2
amren.com,0,1,7
act.tv,0,3,2
wionews.com,1,2,4
baltimoresun.com,0,3,3
adflegal.org,1,1,7
guns.com,0,3,5
getreligion.org,0,2,6
webmd.com,0,3,4
chroniclesmagazine.org,0,2,6
alec.org,0,2,6
nzherald.co.nz,0,3,4
thewalrus.ca,1,3,2
canadafreepress.com,1,2,6
rantt.com,1,3,2
americansforprosperity.org,0,2,6
medicalxpress.com,0,3,4
jpost.com-Jerusalem-Report,0,3,3
courthousenews.com,1,3,4
chicagoreporter.com,0,3,3
aei.org,0,2,6
seattlepi.com,0,3,3
thehill.com,0,2,3
10news.one,0,1,7
tmn.today,1,1,7
international.thenewslens.com,1,3,5
oaoa.com,1,3,5
littlegreenfootballs.com,0,2,2
acpeds.org,1,1,6
o4anews.com,1,1,7
euobserver.com,1,3,3
washingtontimes.com,0,3,5
therightstuff.biz,0,1,7
understandrealitythroughscience.blogspot.com,0,3,4
tribunist.com,0,2,6
worldnewsdailyreport.com,1,1,4
economyincrisis.org,0,2,2
realtimepolitics.com,0,1,1
en-volve.com,0,1,7
timesofindia.indiatimes.com,1,3,4
memeorandum.com,0,2,4
dailypresser.com,0,1,7
indiatoday.intoday.in,0,3,4
fairobserver.com,0,3,4
japantoday.com,1,3,5
thesaturdaypaper.com.au,0,3,3
hillarybeattrump.org,1,1,4
therightscoop.com,0,3,6
vdare.com,0,1,7
dailyworldinformation.com,0,1,7
freedomsfinalstand.com,1,1,7
hrw.org,1,3,3
stubhillnews.com,0,1,4
exposinggovernment.com,0,1,7
sun-sentinel.com,0,3,5
tucson.com,0,3,3
castanet.net,0,3,4
londonwebnews.com,0,1,1
thewhim.com,0,3,4
newstatesman.com,0,3,2
policyed.org,0,3,5
wsj.com,0,3,5
ff.org,-1,2,6
thetruthdivision.com,0,1,7
humanevents.com,0,2,6
newromantimes.com,0,1,4
gulfnews.com,0,3,5
budapestbeacon.com,0,3,3
libertyunyielding.com,1,2,6
chinadaily.com.cn,0,3,4
migrationpolicy.org,1,3,3
governing.com,0,3,3
speakgov.com,-1,1,7
ladylibertysnews.com,0,1,7
foxnews.com,0,2,6
verywell.com,1,3,4
newsheist.com,0,2,5
sungazette.com,0,3,5
euractiv.com,1,2,3
crooksandliars.com,1,2,2
leadstories.com,0,3,4
shareblue.com,0,2,2
deadspin.com,0,3,2
universitybusiness.com,0,3,3
conservativepost.com,0,1,7
clarionproject.org,0,1,7
napavalleyregister.com,0,3,4
heartland.org,1,2,6
sojo.net,1,3,3
callthecops.net,0,1,4
truthuncensored.net,0,1,7
popularmechanics.com,1,3,4
capoliticalreview.com,0,3,5
truthdig.com,0,3,2
adobochronicles.com,1,1,4
timeslive.co.za,1,2,5
thehayride.com,0,3,6
toinformistoinfluence.com,0,3,3
herald-review.com,0,3,4
glamour.com,0,3,3
insidehighered.com,1,3,3
ozy.com,0,3,3
dailyworldupdate.us,0,1,4
tdn.com,0,3,4
skyandtelescope.com,1,3,4
frankmag.ca,0,1,4
ire.org,0,3,4
thedailybeast.com,0,3,2
carolinapublicpress.org,0,3,3
progressivearmy.com,1,3,2
democraticmoms.com,0,1,1
themoderatevoice.com,0,3,4
mnn.com,1,3,3
rockcitytimes.com,1,1,4
en.bbarta24.net,0,3,4
irena.org,0,3,4
advocate.com,0,3,2
biggovernment.news,0,2,6
qpolitical.com,-1,1,7
truthrevolt.org,0,1,7
bettergov.org,1,3,4
americanmilitarynews.com,0,2,6
acculturated.com,-1,3,6
freedomoutpost.com,1,1,7
theknifemedia.com,0,3,4
reviewjournal.com,0,3,5
wonkette.com,0,2,2
thegatewaypundit.com,0,1,7
fpri.org,0,3,5
madworldnews.com,1,1,7
conservativefiringline.com,1,1,7
politicops.com,1,1,4
derfmagazine.com,0,1,4
currentaffairs.org,0,3,2
defiantamerica.com,1,1,7
rollcall.com,0,3,4
teddystick.com,-1,1,7
sandiegofreepress.org,1,3,3
therealnews.com-t2,0,3,3
nationofchange.org,1,2,2
ricochet.com,0,2,6
citizen-times.com,0,3,3
waterfordwhispersnews.com,0,1,4
aim.org,0,2,6
upi.com,0,3,4
thevarsity.ca,0,3,3
thetab.com,0,3,3
shareably.net,0,3,4
saudigazette.com.sa,1,3,3
opposingviews.com,0,3,3
listverse.com,0,3,4
theaustralian.com.au,0,3,5
oregonlive.com-#-0,1,3,5
washingtonpress.com,1,2,2
news.abs-cbn.com,0,3,4
hangthebankers.com,0,1,7
nationalnewswatch.com,0,3,3
duhprogressive.com,0,1,4
dutchreview.com,0,2,3
healthline.com,1,3,4
watchdog.org,0,2,5
spectator.org,0,3,6
alaraby.co.uk,1,3,3
journalstar.com,0,3,4
this.org,0,3,2
ced.org,0,3,4
rfa.org-english,1,3,3
filmingcops.com,0,3,2
stonecoldtruth.com,0,1,7
spiked-online.com,0,2,6
meanlefthook.com,1,2,2
dcwhispers.com,0,2,6
plymouthpatriotpost.com,-1,1,7
extranewsfeed.com,0,2,2
dailycaller.com,1,2,6
bitchmedia.org,1,3,2
colddeadhands.us,1,2,6
campaignforliberty.org,0,2,5
remnantnewspaper.com,1,1,7
guardianlv.com,1,3,2
unclesamsmisguidedchildren.com,1,1,7
thewrap.com,1,2,4
yahoo.com-news-?ref=gs,0,2,3
cnn.com,1,2,2
ageofshitlords.com,1,1,6
undergroundjournalist.org,-1,1,1
viraltitle.com,0,2,2
courant.com,0,3,3
nottnews.com,-1,1,4
lifezette.com,0,2,6
restoreamericanglory.com,0,3,6
mises.org,0,2,5
newsy.com,0,3,3
circa.com,0,3,5
pantagraph.com,0,3,4
liberalmountain.com,0,3,3
jointcenter.org,1,3,3
journalnow.com,0,3,5
cityandstateny.com,1,3,4
teapartypatriots.org,0,3,6
historynewsnetwork.org,1,3,3
defund.com,0,1,7
people.com-politics,0,3,2
oann.com,0,2,6
zcomm.org-zmag,0,3,2
theblacksphere.net,0,2,6
stocknewsusa.com,1,3,4
cctv-america.com,0,3,3
hoover.org,0,2,5
learnliberty.org,0,3,5
freepress.net,0,3,3
ciponline.org,-1,3,3
ifyouonlynews.com,0,1,1
thenews.com.pk,0,3,4
wikitribune.com,1,3,4
earthmagazine.org,1,3,4
news.trust.org,0,3,3
libertynation.com,0,3,6
eagletribune.com,1,3,4
russia-insider.com-en,0,2,5
alphanewsmn.com,0,2,6
nola.com-#-0,1,3,3
alhayat.com,0,3,3
roanoke.com,1,3,3
louderwithcrowder.com,0,2,6
theodysseyonline.com,0,2,3
whowhatwhy.org,0,2,2
twincities.com,0,3,3
politico.com,1,3,3
knightstemplarinternational.com,0,1,7
chronicle.su,0,1,4
columbiadailyherald.com,0,3,5
americanlookout.com,0,1,7
investors.com,0,2,5
cnsnews.com,1,2,6
thetimesherald.com,1,3,5
ipolitics.ca,1,3,3
religionnews.com,0,3,3
politicslive.net,0,1,7
marxist.com,1,3,2
interpretermag.com,0,3,3
unwatch.org,1,2,6
townhall.com,0,2,6
pjmedia.com,1,2,6
baptistnews.com,0,3,3
duffelblog.com,0,1,4
usadosenews.com,0,1,7
omaha.com,0,3,5
economictimes.indiatimes.com,1,3,3
ndtv.com,0,3,3
lifehacker.com,0,3,3
mlive.com,1,3,4
nationalmemo.com,0,3,2
projectveritas.com,0,2,6
taxfoundation.org,1,3,5
govexec.com,0,3,4
insidephilanthropy.com,0,3,3
thejakartapost.com,0,3,4
conservative101.com,-1,1,7
allnewspipeline.com,0,1,7
washingtonexaminer.com,0,3,5
seattletimes.com,0,3,3
amgreatness.com,0,3,5
ibleedredwhiteblue.com,0,2,6
sonsoflibertymedia.com,0,1,7
cbsnews.com,0,3,3
afr.com,1,3,4
chicago.suntimes.com,0,3,3
couriermail.com.au,1,3,5
globalnews.ca,0,3,3
americanprogress.org,0,3,2
nationalvanguard.org,0,1,7
theamericanconservative.com,0,3,5
eaglerising.com,1,1,7
erlc.com,0,2,6
defendevropa.org,1,1,7
yesmagazine.org,0,3,2
stimson.org,1,3,4
peacock-panache.com,1,3,2
host.madison.com-wsj,0,3,4
upr.org,1,3,3
uproxx.com,0,3,2
sputniknews.com,1,2,5
wn.com,0,3,4
modernliberals.com,0,2,2
earthfirstjournal.org,0,2,2
libertyheadlines.com,0,2,6
freetelegraph.com,0,1,6
dandygoat.com,0,1,4
conservapedia.com-Main_Page,0,1,7
strategic-culture.org,1,3,5
resourcegovernance.org,1,3,3
theamericanmirror.com,0,1,7
jacobinmag.com,0,3,2
ruthinstitute.org,0,1,7
proudemocrat.com,0,2,2
fmobserver.com,0,1,4
betootaadvocate.com,1,1,4
dailyrecord.co.uk,1,2,2
discovermagazine.com,1,3,4
talkingpointsmemo.com,0,3,2
birminghammail.co.uk,1,2,3
americanconsequences.com,0,2,6
sonorannews.com,1,2,6
mentalfloss.com,0,3,4
thefifthcolumnnews.com,0,2,3
informationliberation.com,0,1,7
dcreport.org,0,3,3
autostraddle.com,1,3,2
jns.org,0,3,5
wgntv.com,0,3,3
bearingarms.com,0,2,6
americantruthseekers.com,-1,1,7
themillenniumreport.com,0,1,7
knoxreport.com,0,2,6
huzlers.com,0,1,4
mediaequalizer.com,0,2,6
thecanary.co,1,3,2
westernjournalism.com,0,2,6
workers.org,0,2,2
globalintegrity.org,1,3,4
harddawn.com,0,1,4
fedsoc.org,0,2,6
politichicks.com,0,2,6
nextavenue.org,1,3,4
rappler.com,0,2,2
oppositionreport.com,0,1,1
ejinsight.com,1,3,4
factbox.tv,0,3,3
avoiceformen.com,0,1,7
christwire.org,0,1,4
futureinamerica.com-news,1,2,6
newcenturytimes.com,0,1,1
chaser.com.au,0,1,4
financialpost.com,1,3,5
libertyhangout.org,1,2,6
newsday.com,0,3,3
psychologytoday.com,0,3,4
consortiumnews.com,0,3,4
usainfront.com,0,1,7
conservativehq.com,0,2,6
rinf.com,0,1,7
conservativedailynews.com,0,2,6
capitalresearch.org,1,2,6
infogalactic.com,0,1,7
news.err.ee,1,3,4
opslens.com,1,2,6
vote.us.org,-1,2,2
newsnow.co.uk,1,2,4
magapill.com,0,1,6
themilitant.com,0,3,2
indymedia.org-or-index.shtml,0,2,3
readersupportednews.org,0,2,2
redstate.com,0,2,6
democratherald.com,0,3,4
deccanherald.com,0,2,3
cowgernation.com,0,2,6
hillarydaily.com,1,2,6
freemedia.at,0,3,4
beinglibertarian.com,0,3,6
frontpagemag.com,0,1,7
americanindependent.com,0,3,2
curvemag.com,1,3,2
ahtribune.com,0,2,3
nber.org,0,3,4
faithfamilyamerica.com,0,3,5
centerforinquiry.net,0,3,4
bjreview.com,1,3,3
tnonline.com,0,3,5
elpasotimes.com,1,3,3
algemeiner.com,0,3,5
calgaryherald.com,0,3,3
feministfrequency.com,0,3,3
viralliberty.com,0,1,7
dailysnark.com,0,1,4
eng.majalla.com,1,3,4
freedomhouse.org,1,3,5
newsblaze.com,1,1,7
votesmart.org,0,3,4
theintercept.com,0,3,3
evonomics.com,0,3,2
thenationalpatriot.com,0,1,7
torontosun.com,0,3,6
theunrealtimes.com,0,1,4
staresattheworld.com,0,1,7
youthradio.org,0,3,3
bluetribune.com,0,1,1
notallowedto.com,0,1,4
worldpress.org,1,3,4
azdailysun.com,0,3,3
newbostonpost.com,1,2,6
thedcgazette.com,0,1,7
barenakedislam.com,0,1,7
twitchy.com,0,2,6
newyorker.com-humor-borowitz-report,1,1,4
lbc.co.uk,0,2,5
thenewamerican.com,0,2,6
rawstory.com,0,2,2
freakoutnation.com,0,1,1
smithsonianmag.com,0,3,4
unionleader.com,1,3,6
steadfastandloyal.com,0,1,7
theresurgent.com,0,2,6
cnntimes.online,-1,2,2
independentsentinel.com,1,3,6
100percentfedup.com,1,1,7
bullshido.net,0,3,4
tfp.org,1,1,7
lifenews.com,0,2,6
spiegel.de,0,3,3
sciencedirect.com,0,3,4
lewrockwell.com,0,1,7
gazette.com,1,3,5
patheos.com,1,2,4
girlsjustwannahaveguns.com,1,1,7
newsandgutsmedia.com,0,3,3
observeronline.news,-1,1,4
crfb.org,1,3,4
stpete4peace.org,0,3,2
feministing.com,0,3,2
unz.com,0,1,7
globalvoices.org,1,3,2
dcstatesman.com,0,2,6
thedailyliberator.com,0,2,6
nationalreview.com,0,3,6
theburningspear.com,0,3,2
pacificpundit.com,0,1,7
theredshtick.com,1,1,4
politicaldig.com,0,2,2
memri.org,0,1,6
tvw.org,0,3,4
dailytarheel.com,0,3,3
lexingtoninstitute.org,0,3,5
kmov.com,0,3,3
nationaleconomicseditorial.com,0,1,7
middleeastmonitor.com,1,2,2
britannica.com,1,3,4
srnnews.com,0,3,5
dailytelegraph.com.au,1,2,6
foreignaffairs.com,0,3,4
cis.org,0,1,7
washingtonblade.com,0,3,3
canadiandimension.com,1,3,2
schmedium.org,0,1,4
standard.net,1,3,4
change.org,0,3,2
democraticunderground.com,0,2,2
pastemagazine.com,0,3,2
texastribune.org,1,3,4
consnation.com,0,1,7
ctvnews.ca,0,3,3
thewire.in,1,3,3
newser.com,1,3,3
rep-am.com,1,3,5
loveknowledge.org,-1,2,2
democracynow.org,0,3,2
prospectmagazine.co.uk,1,3,3
winonadailynews.com,0,3,4
abovethelaw.com,0,3,3
us.blastingnews.com,0,2,3
factcheck.org,1,3,4
neweurope.eu,1,3,3
thediplomat.com,1,3,4
dailysurge.com,1,2,6
eastbaytimes.com,0,3,3
mediacircus.com,0,2,6
defenseone.com,0,3,4
electronicintifada.net,0,3,2
usasupreme.com,1,1,7
thelibertyeagle.com,0,1,7
rt.com-news,1,2,5
slate.com,1,3,2
westernjournalism.com-thepoint,0,2,6
conservativebase.com,0,2,6
desmoinesregister.com,1,3,5
mondoweiss.net,0,3,2
newsbusters.org,0,2,6
thewashingtonreporter.com,-1,1,7
theoswatch.com,0,2,2
thesun.co.uk,1,2,6
antiwar.com,0,2,5
missoulian.com,0,3,4
cumberlink.com,1,3,4
mediazone.news,1,1,7
carnegieendowment.org,1,3,4
liberalexaminer.com,0,2,2
readingthepictures.org,0,3,2
corporatepresidency.org,0,3,3
imowired.com,0,1,7
richmond.com,1,3,5
alreporter.com,0,3,4
msnbc.com,0,2,2
mintpressnews.com,1,3,3
news.com.au,1,3,3
theshovel.com.au,0,1,4
thenewatlantis.com,0,3,5
censored.news,0,1,7
miamiherald.com,-1,3,3
frontiersin.org,0,2,4
outabouter.com,0,1,4
ifamericaknew.org,0,3,3
the-daily-news.co.uk,-1,1,4
malaysia-today.net,0,2,4
drudgereport.com,0,2,6
insidesources.com,0,3,5
texasstandard.org,0,3,4
thenewtropic.com,0,3,3
bigthink.com,0,3,4
